nodeId1,portId1,nodeId2,portId2,bandwidth,delay
64,7,72,0,400Gbps,100ns
64,8,80,0,400Gbps,100ns
64,9,88,0,400Gbps,100ns
64,10,96,0,400Gbps,100ns
64,11,104,0,400Gbps,100ns
64,12,112,0,400Gbps,100ns
64,13,120,0,400Gbps,100ns
64,14,272,0,400Gbps,100ns
65,1,66,1,400Gbps,100ns
65,2,67,1,400Gbps,100ns
65,3,68,1,400Gbps,100ns
65,4,69,1,400Gbps,100ns
65,5,70,1,400Gbps,100ns
65,6,71,1,400Gbps,100ns
65,7,73,0,400Gbps,100ns
65,8,81,0,400Gbps,100ns
65,9,89,0,400Gbps,100ns
65,10,97,0,400Gbps,100ns
65,11,105,0,400Gbps,100ns
65,12,113,0,400Gbps,100ns
65,13,121,0,400Gbps,100ns
65,14,273,0,400Gbps,100ns
66,2,67,2,400Gbps,100ns
66,3,68,2,400Gbps,100ns
66,4,69,2,400Gbps,100ns
66,5,70,2,400Gbps,100ns
66,6,71,2,400Gbps,100ns
66,7,74,0,400Gbps,100ns
66,8,82,0,400Gbps,100ns
66,9,90,0,400Gbps,100ns
66,10,98,0,400Gbps,100ns
66,11,106,0,400Gbps,100ns
66,12,114,0,400Gbps,100ns
66,13,122,0,400Gbps,100ns
66,14,274,0,400Gbps,100ns
67,3,68,3,400Gbps,100ns
67,4,69,3,400Gbps,100ns
67,5,70,3,400Gbps,100ns
67,6,71,3,400Gbps,100ns
67,7,75,0,400Gbps,100ns
67,8,83,0,400Gbps,100ns
67,9,91,0,400Gbps,100ns
67,10,99,0,400Gbps,100ns
67,11,107,0,400Gbps,100ns
67,12,115,0,400Gbps,100ns
67,13,123,0,400Gbps,100ns
67,14,275,0,400Gbps,100ns
68,4,69,4,400Gbps,100ns
68,5,70,4,400Gbps,100ns
68,6,71,4,400Gbps,100ns
68,7,76,0,400Gbps,100ns
68,8,84,0,400Gbps,100ns
68,9,92,0,400Gbps,100ns
68,10,100,0,400Gbps,100ns
68,11,108,0,400Gbps,100ns
68,12,116,0,400Gbps,100ns
68,13,124,0,400Gbps,100ns
68,14,276,0,400Gbps,100ns
69,5,70,5,400Gbps,100ns
69,6,71,5,400Gbps,100ns
69,7,77,0,400Gbps,100ns
69,8,85,0,400Gbps,100ns
69,9,93,0,400Gbps,100ns
69,10,101,0,400Gbps,100ns
69,11,109,0,400Gbps,100ns
69,12,117,0,400Gbps,100ns
69,13,125,0,400Gbps,100ns
69,14,277,0,400Gbps,100ns
70,6,71,6,400Gbps,100ns
70,7,78,0,400Gbps,100ns
70,8,86,0,400Gbps,100ns
70,9,94,0,400Gbps,100ns
70,10,102,0,400Gbps,100ns
70,11,110,0,400Gbps,100ns
70,12,118,0,400Gbps,100ns
70,13,126,0,400Gbps,100ns
70,14,278,0,400Gbps,100ns
71,7,79,0,400Gbps,100ns
71,8,87,0,400Gbps,100ns
71,9,95,0,400Gbps,100ns
71,10,103,0,400Gbps,100ns
71,11,111,0,400Gbps,100ns
71,12,119,0,400Gbps,100ns
71,13,127,0,400Gbps,100ns
71,14,279,0,400Gbps,100ns
72,1,73,1,400Gbps,100ns
72,2,74,1,400Gbps,100ns
72,3,75,1,400Gbps,100ns
72,4,76,1,400Gbps,100ns
72,5,77,1,400Gbps,100ns
72,6,78,1,400Gbps,100ns
72,7,79,1,400Gbps,100ns
72,8,80,1,400Gbps,100ns
72,9,88,1,400Gbps,100ns
72,10,96,1,400Gbps,100ns
72,11,104,1,400Gbps,100ns
72,12,112,1,400Gbps,100ns
72,13,120,1,400Gbps,100ns
72,14,272,1,400Gbps,100ns
73,2,74,2,400Gbps,100ns
73,3,75,2,400Gbps,100ns
73,4,76,2,400Gbps,100ns
73,5,77,2,400Gbps,100ns
73,6,78,2,400Gbps,100ns
73,7,79,2,400Gbps,100ns
73,8,81,1,400Gbps,100ns
73,9,89,1,400Gbps,100ns
73,10,97,1,400Gbps,100ns
73,11,105,1,400Gbps,100ns
73,12,113,1,400Gbps,100ns
73,13,121,1,400Gbps,100ns
73,14,273,1,400Gbps,100ns
74,3,75,3,400Gbps,100ns
74,4,76,3,400Gbps,100ns
74,5,77,3,400Gbps,100ns
74,6,78,3,400Gbps,100ns
74,7,79,3,400Gbps,100ns
74,8,82,1,400Gbps,100ns
74,9,90,1,400Gbps,100ns
74,10,98,1,400Gbps,100ns
74,11,106,1,400Gbps,100ns
74,12,114,1,400Gbps,100ns
74,13,122,1,400Gbps,100ns
74,14,274,1,400Gbps,100ns
75,4,76,4,400Gbps,100ns
75,5,77,4,400Gbps,100ns
75,6,78,4,400Gbps,100ns
75,7,79,4,400Gbps,100ns
75,8,83,1,400Gbps,100ns
75,9,91,1,400Gbps,100ns
75,10,99,1,400Gbps,100ns
75,11,107,1,400Gbps,100ns
75,12,115,1,400Gbps,100ns
75,13,123,1,400Gbps,100ns
75,14,275,1,400Gbps,100ns
76,5,77,5,400Gbps,100ns
76,6,78,5,400Gbps,100ns
76,7,79,5,400Gbps,100ns
76,8,84,1,400Gbps,100ns
76,9,92,1,400Gbps,100ns
76,10,100,1,400Gbps,100ns
76,11,108,1,400Gbps,100ns
76,12,116,1,400Gbps,100ns
76,13,124,1,400Gbps,100ns
76,14,276,1,400Gbps,100ns
77,6,78,6,400Gbps,100ns
77,7,79,6,400Gbps,100ns
77,8,85,1,400Gbps,100ns
77,9,93,1,400Gbps,100ns
77,10,101,1,400Gbps,100ns
77,11,109,1,400Gbps,100ns
77,12,117,1,400Gbps,100ns
77,13,125,1,400Gbps,100ns
77,14,277,1,400Gbps,100ns
78,7,79,7,400Gbps,100ns
78,8,86,1,400Gbps,100ns
78,9,94,1,400Gbps,100ns
78,10,102,1,400Gbps,100ns
78,11,110,1,400Gbps,100ns
78,12,118,1,400Gbps,100ns
78,13,126,1,400Gbps,100ns
78,14,278,1,400Gbps,100ns
79,8,87,1,400Gbps,100ns
79,9,95,1,400Gbps,100ns
79,10,103,1,400Gbps,100ns
79,11,111,1,400Gbps,100ns
79,12,119,1,400Gbps,100ns
79,13,127,1,400Gbps,100ns
79,14,279,1,400Gbps,100ns
80,2,81,2,400Gbps,100ns
80,3,82,2,400Gbps,100ns
80,4,83,2,400Gbps,100ns
80,5,84,2,400Gbps,100ns
80,6,85,2,400Gbps,100ns
80,7,86,2,400Gbps,100ns
80,8,87,2,400Gbps,100ns
80,9,88,2,400Gbps,100ns
80,10,96,2,400Gbps,100ns
80,11,104,2,400Gbps,100ns
80,12,112,2,400Gbps,100ns
80,13,120,2,400Gbps,100ns
80,14,272,2,400Gbps,100ns
81,3,82,3,400Gbps,100ns
81,4,83,3,400Gbps,100ns
81,5,84,3,400Gbps,100ns
81,6,85,3,400Gbps,100ns
81,7,86,3,400Gbps,100ns
81,8,87,3,400Gbps,100ns
81,9,89,2,400Gbps,100ns
81,10,97,2,400Gbps,100ns
81,11,105,2,400Gbps,100ns
81,12,113,2,400Gbps,100ns
81,13,121,2,400Gbps,100ns
81,14,273,2,400Gbps,100ns
82,4,83,4,400Gbps,100ns
82,5,84,4,400Gbps,100ns
82,6,85,4,400Gbps,100ns
82,7,86,4,400Gbps,100ns
82,8,87,4,400Gbps,100ns
82,9,90,2,400Gbps,100ns
82,10,98,2,400Gbps,100ns
82,11,106,2,400Gbps,100ns
82,12,114,2,400Gbps,100ns
82,13,122,2,400Gbps,100ns
82,14,274,2,400Gbps,100ns
83,5,84,5,400Gbps,100ns
83,6,85,5,400Gbps,100ns
83,7,86,5,400Gbps,100ns
83,8,87,5,400Gbps,100ns
83,9,91,2,400Gbps,100ns
83,10,99,2,400Gbps,100ns
83,11,107,2,400Gbps,100ns
83,12,115,2,400Gbps,100ns
83,13,123,2,400Gbps,100ns
83,14,275,2,400Gbps,100ns
84,6,85,6,400Gbps,100ns
84,7,86,6,400Gbps,100ns
84,8,87,6,400Gbps,100ns
84,9,92,2,400Gbps,100ns
84,10,100,2,400Gbps,100ns
84,11,108,2,400Gbps,100ns
84,12,116,2,400Gbps,100ns
84,13,124,2,400Gbps,100ns
84,14,276,2,400Gbps,100ns
85,7,86,7,400Gbps,100ns
85,8,87,7,400Gbps,100ns
85,9,93,2,400Gbps,100ns
85,10,101,2,400Gbps,100ns
85,11,109,2,400Gbps,100ns
85,12,117,2,400Gbps,100ns
85,13,125,2,400Gbps,100ns
85,14,277,2,400Gbps,100ns
86,8,87,8,400Gbps,100ns
86,9,94,2,400Gbps,100ns
86,10,102,2,400Gbps,100ns
86,11,110,2,400Gbps,100ns
86,12,118,2,400Gbps,100ns
86,13,126,2,400Gbps,100ns
86,14,278,2,400Gbps,100ns
87,9,95,2,400Gbps,100ns
87,10,103,2,400Gbps,100ns
87,11,111,2,400Gbps,100ns
87,12,119,2,400Gbps,100ns
87,13,127,2,400Gbps,100ns
87,14,279,2,400Gbps,100ns
88,3,89,3,400Gbps,100ns
88,4,90,3,400Gbps,100ns
88,5,91,3,400Gbps,100ns
88,6,92,3,400Gbps,100ns
88,7,93,3,400Gbps,100ns
